,danceability,energy,key1,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.56,0.66,9,-5.04,1,0.15,0.34,0.0,0.08,0.69,166.93,4ZtFanR9U6ndgddUvNcjcG,178147
1,0.76,0.46,8,-5.19,1,0.09,0.0,0.0,0.09,0.7,110.0,3VqeTFIvhxu3DIe4eZVzGq,164442
2,0.44,0.61,2,-7.22,1,0.11,0.58,0.0,0.37,0.18,180.92,6HU7h9RYOaPRFeh0R3UeAr,215507
3,0.61,0.51,8,-6.68,0,0.15,0.3,0.0,0.38,0.76,178.82,67BtfxlNbhBmCDR2L2l8qd,137876
4,0.56,0.43,10,-8.81,1,0.06,0.77,0.0,0.11,0.14,143.88,5wANPM4fQCJwkGd4rN57mH,242013
5,0.76,0.7,8,-3.54,1,0.03,0.24,0.0,0.12,0.74,110.97,748mdHapucXQri7IAO8yFK,208867
6,0.68,0.7,0,-6.18,1,0.12,0.32,0.0,0.42,0.46,90.03,4iJyoBOLtHqaGxP12qzhQI,198082
7,0.38,0.34,3,-7.89,1,0.03,0.69,0.0,0.12,0.08,100.61,5CZ40GBx1sQ9agT82CLQCT,229227
8,0.63,0.94,4,-3.12,0,0.07,0.0,0.0,0.42,0.64,103.0,776AftMmFFAWUIEAb3lHhw,194787
9,0.67,0.53,4,-6.45,1,0.06,0.03,0.0,0.28,0.28,124.0,6SRsiMl7w1USE4mFqrOhHC,143747
10,0.7,0.83,6,-3.79,0,0.06,0.01,0.0,0.07,0.92,102.98,5nujrmhLynf4yMoMtj8AQF,203064
11,0.64,0.26,7,-10.71,1,0.09,0.75,0.0,0.22,0.27,88.49,2TOzTqQXNmR2zDJXihjZ2e,202827
12,0.4,0.44,6,-9.72,1,0.13,0.77,0.0,0.08,0.34,168.92,2tGvwE8GcFKwNdAXMnlbfl,175933
13,0.47,0.2,2,-12.63,1,0.1,0.94,0.0,0.13,0.42,168.88,4wcBRRpIfesgcyUtis7PEg,163587
14,0.78,0.7,4,-6.87,0,0.09,0.18,0.0,0.15,0.47,150.0,3VT8hOC5vuDXBsHrR53WFh,132780
15,0.59,0.62,5,-7.96,1,0.03,0.18,0.0,0.09,0.72,148.09,7MAibcTli4IisCtbHKrGMh,242096
16,0.7,0.58,10,-6.33,0,0.12,0.2,0.0,0.06,0.7,163.93,0MMyJUC3WNnFS1lit5pTjk,173160
17,0.85,0.7,6,-4.41,0,0.06,0.41,0.0,0.11,0.51,98.01,7Bk0uXKk1uPT0XuQbpFzvs,261667
18,0.37,0.27,9,-10.5,1,0.04,0.87,0.0,0.15,0.22,172.93,5JCoSi02qi3jJeHdZXMmR8,152667
19,0.79,0.54,6,-6.86,1,0.24,0.41,0.0,0.13,0.44,81.04,43PGPuHIlVOc04jrZVh9L6,165926
20,0.75,0.77,6,-4.41,0,0.1,0.01,0.0,0.09,0.74,114.04,4saklk6nie3yiGePpBwUoc,199054
21,0.72,0.62,4,-5.1,0,0.05,0.16,0.0,0.09,0.81,80.02,2rCbl9naJYhaxjLsfx88uM,195053
22,0.44,0.3,0,-12.18,1,0.06,0.39,0.0,0.1,0.17,77.25,1zejeOnykpCoyVSit6Bwp3,209560
23,0.86,0.46,3,-7.45,1,0.04,0.22,0.0,0.35,0.87,102.93,7BoobGhD4x5K96Me0hqC8Q,122773
